"gene_id","GEL_AT_immature_top_leaf_R1","GEL_AU_immature_top_leaf_R2","GEL_AV_immature_top_leaf_R3","GEL_AW_mature_middle_leaf_R1","GEL_AX_mature_middle_leaf_R2","GEL_AY_mature_middle_leaf_R3","GEL_AZ_mature_bottom_leaf_R1","GEL_BA_mature_bottom_leaf_R2","GEL_BB_mature_bottom_leaf_R3","GEL_BC_immature_top_stem_R1","GEL_BD_immature_top_stem_R2","GEL_BE_immature_top_stem_R3","GEL_BI_primary_root_R1","GEL_BJ_primary_root_R2","GEL_BK_primary_root_R3","GEL_BL_secondary_root_R1","GEL_BM_secondary_root_R2","GEL_BN_secondary_root_R3"
"Gelse.v1.S064530.1",0.272084,0.116334,0.466355,0.0667707,0.18817,0.0191319,0,0.0256052,0.0397088,0.864593,0.982383,0.465085,0.770047,0.780544,0.350069,0.46739000000000003,0.532296,0.366607
"Gelse.v1.S041240.1",51.8629,64.8698,59.7476,36.8702,33.9176,32.2116,28.6805,23.9582,19.1251,60.8543,50.0889,58.2117,74.5641,69.3743,76.5451,75.4087,65.5929,70.3393
"Gelse.v1.S231590.1",2.32407,1.69331,5.53778,0.772191,1.58968,1.32493,2.01653,2.44124,2.47111,30.4048,24.9187,24.944,7.56441,3.99027,2.78893,2.581,3.85224,1.74293
"Gelse.v1.S057810.8",22.5401,20.5342,30.5301,4.78695,4.45735,2.88548,2.60744,1.73555,3.62739,35.4201,36.6356,32.0854,10.5207,10.9544,5.95804,6.42515,6.2605,5.79706
"Gelse.v1.S018230.1",29.9835,19.6117,28.6463,32.1462,31.5846,40.1418,45.1028,39.9593,42.8934,36.8239,44.0173,29.5436,32.8272,35.3007,35.0342,30.3448,38.2123,32.2344
"Gelse.v1.S156310.2",7.06908,3.69973,7.31542,5.80075,5.34671,4.18159,4.45388,4.00229,4.28998,7.27923,7.40994,5.65182,5.68256,5.97838,5.60098,5.75172,6.26552,6.33037
"Gelse.v1.S138110.1",9.21106,4.57113,7.86199,7.71274,7.23865,8.95876,7.65708,6.92601,8.23898,17.5515,16.3685,12.918,13.536,16.4177,8.90858,12.3669,17.0231,12.9254
"Gelse.v1.S223040.1",0.372226,0.179242,0.793504,0.0979535,0.178504,0.281226,0.0595836,0,0.0763179,0.513506,0.405634,0.247915,1.15026,1.61486,1.71005,1.3723,3.60312,2.07853
"Gelse.v1.S138900.1",127.837,122.401,165.263,134.928,155.105,273.557,110.508,124.643,124.349,55.9323,58.5807,67.6748,27.5959,23.2269,21.6212,32.7882,24.8313,31.7039
"Gelse.v1.S074610.1",0,0,0,0,0,0,0,0,0,0,0,0,0.288059,0.298299,0.385965,0.0949168,0.147204,0
"Gelse.v1.S263360.2",837.582,1045.51,710.239,1151.01,1115.41,953.723,1564.05,1210.55,1005.08,249.187,217.824,357.506,47.5854,27.5007,23.8516,31.8963,22.2129,22.0423
"Gelse.v1.S139200.3",16.1183,9.99535,18.8051,11.1545,11.1679,9.50051,9.64401,9.86626,8.53784,21.4489,19.2425,16.5736,18.0337,14.1708,11.859,19.7636,13.8588,13.5521
"Gelse.v1.S005820.1",7.63746,5.33605,10.4167,3.15814,3.84098,3.43414,2.89662,3.0037,2.88328,12.3927,10.3234,11.1106,13.2523,9.48757,7.95543,15.7,8.81236,12.7907
"Gelse.v1.S135240.1",19.0157,22.8148,30.2271,8.03368,17.1504,15.9185,9.85497,6.9777,8.72231,86.6557,60.7663,69,24.9732,10.9216,5.63318,6.5815,7.04888,3.78293
"Gelse.v1.S135290.2",0.554368,0,0.649452,0.23056,0,0,0,0,0.182139,0.812036,0.255385,1.09315,0.118181,0,0.247149,0.254791,0,0.318779
"Gelse.v1.S237760.5",41.4727,27.048,42.1653,43.6874,33.2697,37.248,37.8654,32.6213,37.7704,61.9753,55.3945,47.8556,47.3971,48.4198,34.1565,38.5931,44.6801,43.2126
"Gelse.v1.S241400.1",15.0894,9.35069,8.89595,25.4498,25.2194,37.255,67.7552,29.2087,38.805,33.7249,37.5722,27.004,62.7689,78.1063,93.7243,69.2454,85.9117,86.4576
"Gelse.v1.S253790.2",5.13221,1.13254,5.0704,2.08674,2.05709,1.99874,3.82817,3.28231,3.28155,4.40551,5.80236,3.26315,3.55842,4.17158,2.06955,3.91781,5.07873,4.36285
"Gelse.v1.S169150.1",0.209216,0.0911818,0.0653553,0.406075,0.205474,1.34881,0.510955,1.33522,1.46614,0.408556,0.385474,0.825002,0.475634,0,0.198943,0.769156,0.600011,1.41136
"Gelse.v1.S246820.1",0.0827382,0.107952,0.2321,0,0.424724,0,0,0,0,0.0689893,0.152187,0,0,0.200321,0,0.151585,0,0.0757547
"Gelse.v1.S003020.1",1365.94,1190.13,985.025,2327.89,1921.49,2094.08,2084.54,2628.27,2010.23,465.75,446.141,636.627,198.981,175.351,218.005,212.188,166.004,170.502
"Gelse.v1.S123670.1",1.67872,0.967733,1.74668,0.628912,0.803581,1.96724,1.15432,3.0962,3.32261,2.14115,1.53568,0.877435,2.29977,1.16278,4.02567,1.18067,3.36055,0.668038
"Gelse.v1.S057720.2",6.22917,3.87026,9.44224,2.89234,3.45134,4.40858,2.71031,2.60454,2.88467,17.5259,18.356,19.6476,17.7069,18.1868,17.7614,22.068,19.9145,24.5335
"Gelse.v1.S189600.1",3.70758,1.42574,5.13887,0.928967,1.13155,1.24391,0.32548,0.870862,0.207182,1.82842,2.71475,1.2101,1.36213,0.818436,1.72894,0.651152,0.825749,0.271768
"Gelse.v1.S138600.1",92.8817,92.699700000000007,89.5145,164.585,181.276,210.674,284.871,292.757,258.512,54.8732,71.7491,94.9993,92.7214,174.918,117.453,67.0785,207.587,92.4712
"Gelse.v1.S032350.1",32.7803,36.7025,23.0045,50.4364,53.5718,23.0134,17.0218,8.99885,17.167,0.510373,0.224373,0,0,0,0,0,0,0
"Gelse.v1.S190140.1",0,0,0,0,0,0,0,0,0,0,0,0,29.474,70.5632,42.6391,4.40007,54.9497,13.0265
"Gelse.v1.S043950.3",1.52303,2.13087,0.717168,0.498279,0.417583,0.0683958,0.0747036,0.104658,0.248909,0.0676674,0.370546,0.031836,0.0346837,0,0.115792,0,0.0435141,0
"Gelse.v1.S232600.2",1.40864,0.621457,1.39495,1.63566,1.41731,1.89595,0.729807,0.728778,1.04973,12.829,16.3251,13.3753,17.0329,23.4183,16.7173,10.4792,16.2064,9.05592
"Gelse.v1.S159260.1",6.00288,3.27486,6.98646,2.508,1.0918,1.24018,2.11688,2.89241,0.831841,3.90615,3.53786,1.76135,2.33389,3.75778,1.88285,4.0016,1.48203,4.08736
"Gelse.v1.S222490.1",0.319814,0.29419,0.150783,0.10592,0.214799,0.164384,0,0.139188,0.0284737,0.162353,1.71638,0.356336,0.222318,0,0.301317,0.772087,0.0696173,0.894591
"Gelse.v1.S196710.1",0.342837,0.277049,0.383024,0.502187,1.21629,1.83043,1.98925,1.80415,2.92061,0.596071,1.18446,0.85913,0.805652,2.61321,0.659637,1.40976,3.57998,2.00231
"Gelse.v1.S048690.1",2.47215,1.70455,1.76825,7.49564,1.84205,1.73022,0.0315677,0.130861,0.0149714,31.1836,16.9054,47.0194,15.6962,14.1503,12.6478,13.9696,7.79986,11.4942
"Gelse.v1.S035140.2",3.12495,2.27608,2.83573,2.29967,3.38798,7.06775,6.47153,8.48454,5.08178,5.02132,9.91656,2.15969,1.08315,1.34059,0.769595,0.367269,1.00152,0.249661
"Gelse.v1.S234780.1",10.609,5.42343,13.9242,2.35824,9.24916,3.27563,1.58316,6.20529,7.70013,62.266,39.753,96.0515,350.367,239.441,201.368,150.319,115.85,123.575
"Gelse.v1.S005420.1",2.71702,1.22088,1.75192,1.8657,1.99835,1.89527,1.43629,1.58701,0.985087,2.62875,2.01708,1.59188,1.7983,1.5113,1.70731,1.92338,1.0105,1.89748
"Gelse.v1.S183300.1",0.415506,0.216546,0.212706,0.858511,0.753135,0.493009,0.457895,0.708302,0.651551,0.426552,0.256712,0.276541,0.0909415,0.174019,0.101006,0.532581,0.20822,0.129817
"Gelse.v1.S030670.1",19.0634,27.179,21.703,18.5946,18.828,15.557,25.753,15.3771,12.1326,16.2614,21.3067,19.8696,17.6256,17.9272,15.1274,21.7299,18.6393,21.1923
"Gelse.v1.S226050.1",2.66132,1.01396,2.4058,1.63798,1.64624,1.44403,1.35896,1.54442,1.25313,2.36362,2.31863,1.61662,1.7926,2.08127,1.51547,1.85061,1.82817,1.89818
"Gelse.v1.S191970.2",32.2621,22.3526,33.9041,22.9823,22.6585,25.1875,27.3586,22.1834,21.1504,19.3043,21.6668,16.9221,2.33482,2.42988,2.55262,2.30936,2.00779,2.84143
"Gelse.v1.S043630.2",17.8518,14.5406,17.5418,12.9626,12.1582,13.0044,15.9923,11.8268,14.8042,21.2845,25.6883,16.8589,22.4303,25.5238,24.8747,22.6964,27.9204,24.6643
"Gelse.v1.S107870.1",39.2969,32.8021,31.2131,39.9753,40.7949,35.077,34.9883,32.2417,26.7695,44.0028,34.2504,33.6907,48.185,39.8393,44.3665,44.1545,46.0964,42.2516
"Gelse.v1.S176460.1",0.45512,0.960769,0.211685,1.14176,0.495764,0.375134,0.814682,1.08946,0.685182,0,0,0.533682,0.760268,0.451798,0.318942,0.51722,1.08704,0.412337
"Gelse.v1.S277690.1",0.0298771,0.0178298,0,0,0.0233776,0,0,0,0,0,0,0,0,0,0,0,0.0586404,0
"Gelse.v1.S106270.1",6.56744,2.9974,8.74514,3.45233,2.78022,3.78579,1.74621,1.83632,1.60779,4.93148,5.15408,4.4866,12.8152,14.8482,13.4531,15.3034,18.3008,20.3367
"Gelse.v1.S126300.1",0,0.428877,0,2.18374,0.952006,0,0,0,0,0,0,1.56093,0,0,0,0,0,0
"Gelse.v1.S229520.1",11.7496,8.28618,12.761,6.07632,7.06667,5.63111,4.34319,3.81225,4.98675,15.1568,12.8443,17.0123,11.1784,12.0473,11.6115,11.7015,9.66125,13.851
"Gelse.v1.S060180.1",0.935966,0.588513,1.38711,0.504918,0.346281,0.800219,0.87357,0.842114,0.809467,1.33245,1.73713,1.5332,1.0839,1.27532,0.781374,1.19234,1.16486,1.16354
"Gelse.v1.S004860.2",7.95179,5.88088,10.3511,5.45413,5.98292,7.73262,4.92753,5.93785,5.95127,17.4844,21.9873,14.5024,20.3354,21.8022,15.0087,19.3031,23.2073,20.2365
"Gelse.v1.S121090.1",1.75023,2.37868,1.9028,1.86704,2.99789,2.34067,0.723587,1.23943,2.35435,2.53794,4.42041,2.22093,3.14849,6.66199,0.494971,3.00424,5.71896,2.93435
"Gelse.v1.S031670.1",1.46026,1.98917,0.209297,1.42962,6.23806,5.71464,3.82796,1.15243,6.69903,0,0.0946537,0,0,0,0,0,0,0
"Gelse.v1.S093550.1",15.8228,14.3181,16.6152,12.7559,12.09,13.1897,13.1767,11.4194,12.5405,18.044,18.3805,17.2959,16.639,14.8414,14.3874,17.0062,16.8488,15.5012
"Gelse.v1.S070550.1",1.63157,0.467937,1.31517,1.7925,1.88321,2.49332,4.6453,1.70422,2.61736,2.03434,1.23552,0.992128,0.541953,0.320763,0.279766,0.192933,0.161552,0.22146
"Gelse.v1.S102350.1",32.1731,38.9856,36.1052,18.1272,13.7903,12.5412,8.76905,4.1381,5.04732,36.7647,37.3143,40.9594,41.7784,30.1542,35.1153,51.1646,28.9842,39.2033
"Gelse.v1.S054150.1",8.93179,3.60006,10.0346,5.73588,4.79096,5.87911,6.70054,6.6561,5.75346,9.07799,11.8874,7.42684,10.8671,12.2232,2.87015,12.2287,13.7365,12.171
"Gelse.v1.S023090.1",18.8479,8.78358,21.3983,11.6756,11.9375,13.2099,15.3008,12.9985,11.5197,22.0764,23.9005,15.2091,17.9243,20.9534,17.8488,17.8494,22.8943,18.5814
"Gelse.v1.S016790.1",87.1291,95.2602,91.3323,58.8287,39.5342,39.2202,39.4355,27.6543,34.7641,109.437,106.784,122.127,85.6827,76.729,89.34,109.519,72.271,99.0421
"Gelse.v1.S219470.1",0.777485,0.989786,0.456173,0.32883,0.604398,0.489124,0.120374,0.342347,0.638797,0.987622,1.65591,0,0,0,0,0,0,0
"Gelse.v1.S246420.1",12.3072,17.6768,25.9941,5.67582,4.87191,4.16404,5.74751,5.94786,10.5621,34.7989,25.2147,0.452521,0.468061,3.11593,3.51162,0,4.15321,0
"Gelse.v1.S038650.2",23.6058,9.84274,26.8074,15.9886,15.3733,16.8466,19.0538,17.4608,19.6494,23.3017,29.4409,18.8246,20.5713,24.1903,16.5777,19.9945,26.0258,21.8419
"Gelse.v1.S210000.1",9.711,4.06339,7.49526,8.39954,7.30267,7.60524,7.05764,5.77999,6.13268,9.48194,8.99011,6.51283,7.23093,7.54664,6.68839,9.33205,8.7516,7.75029
"Gelse.v1.S089290.1",17.2601,11.842,28.1492,15.4713,5.80548,4.33098,4.07614,2.12052,2.67287,42.1627,24.6582,62.2343,22.9263,19.7897,27.1257,24.9361,12.9511,25.8641
"Gelse.v1.S183050.1",102.824,80.7637,129.966,69.8602,63.9198,63.3592,60.0617,54.1746,55.0689,130.314,120.815,160.072,101.194,88.2127,112.334,111.085,88.4228,118.011
"Gelse.v1.S202870.1",0,0,0,0,0.0980071,0,0,0,0,0,0,0,0,0,0,0,0,0
"Gelse.v1.S048850.1",0.561683,0.366504,0,1.43302,0,0.455752,0.75909,0.739627,1.4255,0.230991,0,0.224122,0,0,0,0,0,0.753708
"Gelse.v1.S188780.1",16.9382,12.7193,16.4272,13.7057,11.5813,18.7267,11.7443,8.54916,9.16516,24.8474,26.0346,19.8207,21.1012,22.6914,19.2646,19.5853,26.4526,25.144
"Gelse.v1.S199820.1",0,0,0,0,0,0,0,0,0,0,0,0,0.162688,0,0,0,0,0
"Gelse.v1.S112690.1",22.2059,20.4584,16.5856,9.7104,6.09491,4.33529,2.12876,1.82531,2.74035,36.8691,37.5894,43.9171,8.81008,8.27672,9.09283,10.3976,5.57121,12.0908
"Gelse.v1.S039220.1",23.3787,14.2012,32.4116,0.467766,0.651031,1.02728,0.266752,0.615609,0.723317,7.39294,9.60354,4.33811,2.45528,2.66979,2.06049,2.5409,0.993282,1.92981
"Gelse.v1.S035130.1",2.36222,1.30348,1.21049,1.30345,2.36967,2.7686,2.76274,3.02079,2.33969,3.20505,4.15693,3.34446,1.09123,0.776437,0.529026,0.596185,0.412997,0.0544385
"Gelse.v1.S162720.1",8.42168,4.66822,16.0491,3.64398,4.29912,5.8364,2.79067,2.80288,2.50421,26.3926,37.3257,35.2803,184.515,127.019,216.786,332.79,227.221,465.958
"Gelse.v1.S107800.11",12.723,5.13947,14.4098,11.531,12.219,16.011,12.4571,12.399,13.5099,22.2064,24.1081,13.6074,20.4815,23.8655,12.1737,18.5081,24.8909,17.7481
"Gelse.v1.S084940.1",5.68131,3.76135,5.69281,4.95021,5.11197,5.04076,7.24611,5.17453,4.15085,6.50044,6.91631,3.00569,6.18587,6.04885,5.71695,4.87999,6.50316,5.45923
"Gelse.v1.S170750.1",29.7046,40.4147,39.784,26.5032,22.6756,19.0575,23.9972,18.9465,22.7252,42.3028,33.527,40.4954,30.784300000000002,22.736,18.8696,26.557,14.8009,19.6232
"Gelse.v1.S159660.1",0.582814,1.196,0.858099,0.362118,1.22139,0.59159,1.02059,0.443882,0.776834,1.35436,0.067379,0.0579179,8.58983,6.24766,1.92353,5.13491,5.70121,2.0007
"Gelse.v1.S185410.1",3.16879,3.32689,2.06839,2.73212,1.47672,0.324104,0.786492,0,0,0.249511,0.15621,0.0670857,8.91137,1.50041,5.48785,21.3222,3.89642,13.738
"Gelse.v1.S083740.4",22.77,9.17761,19.4944,22.9161,15.9754,13.2042,17.3358,12.1491,12.2689,14.4506,14.0222,15.3641,7.16032,5.84017,4.42433,5.84233,3.88435,4.79078
"Gelse.v1.S158960.1",58.4416,114.174,64.2564,64.7925,60.8765,60.2549,58.4474,56.329,53.5004,65.3335,66.3797,77.2314,72.1903,53.8609,64.814,84.2645,57.1403,66.1954
"Gelse.v1.S270090.1",13.87,10.1213,10.1404,8.54014,5.9633,5.95352,1.18132,1.36513,2.77212,53.9378,15.8432,81.9272,100.15,51.9362,89.6103,170.836,75.5568,190.549
"Gelse.v1.S272160.1",15.3726,4.12692,11.4814,13.7845,13.7365,15.1217,13.15,7.45076,10.3598,10.9464,13.4976,7.37458,9.33084,12.4839,2.24155,7.60467,13.201,8.93422
"Gelse.v1.S015570.3",11.6099,4.30228,11.1356,8.17056,7.042,7.55059,10.3989,8.22575,6.82866,10.0487,12.0298,8.45457,11.12,10.8118,6.63745,9.09118,9.82125,7.78073
